1368,코레일멤버십 삼성마이키즈카드,삼성카드,"해외겸용 15,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1368/card_img/20788/1368card.png
1369,큰수레TAX 삼성플래티늄체크카드,삼성카드,"해외겸용 1,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1369/card_img/20787/1369card.png
1370,포인트플러스 포텐 국내 체크카드,롯데카드,국내전용 없음,전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1370/card_img/20773/1370card.png
1371,큰수레 삼성비즈니스플래티늄카드,삼성카드,"해외겸용 20,000원",전월실적10만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1371/card_img/20772/1371card.png
1372,포인트플러스 포텐 비자 체크카드,롯데카드,국내전용 없음,전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1372/card_img/20771/1372card.png
1373,새마을금고 삼성마이키즈카드,삼성카드,"해외겸용 15,000원",전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1373/card_img/20770/1373card.png
1374,삼성지엔미포인트카드,삼성카드,"해외겸용 12,000원",전월실적30만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/1374/card_img/20769/1374card.png
1375,퍼스트클럽 삼성플래티늄카드,삼성카드,"해외겸용 120,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1375/card_img/20768/1375card.png
1376,포인트플러스 포텐 카드,롯데카드,"국내전용 5,000원 해외겸용 10,000원",전월실적없음,VISAAMEXUnionPay,https://api.card-gorilla.com:8080/storage/card/1376/card_img/20767/1376card.png
1377,이마트모바일 삼성카드 2,삼성카드,"국내전용 10,000원 해외겸용 12,000원",전월실적30만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/1377/card_img/20766/1377card.png
1378,에너지다이어트 삼성카드 & POINT,삼성카드,"국내전용 18,000원 해외겸용 20,000원",전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1378/card_img/20765/1378card.png
1379,굿데이 플래티늄카드,KB국민카드,"해외겸용 100,000원",전월실적30만원 이상,VISAmastercardAMEX,https://api.card-gorilla.com:8080/storage/card/1379/card_img/20764/1379card.png
1380,넥센타이어 KB국민카드,KB국민카드,"해외겸용 12,000원 해외겸용 14,000원",전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1380/card_img/20763/1380card.png
1381,모두투어 투어마일리지 KB국민카드,KB국민카드,"해외겸용 15,000원",전월실적없음,JCB,https://api.card-gorilla.com:8080/storage/card/1381/card_img/20762/1381card.png
1382,몰테일 KB국민카드,KB국민카드,"국내전용 12,000원 해외겸용 12,000원",전월실적없음,mastercard,https://api.card-gorilla.com:8080/storage/card/1382/card_img/20761/1382card.png
1383,반려愛카드(강아지),KB국민카드,"해외겸용 8,000원",전월실적30만원 이상,mastercardJCB,https://api.card-gorilla.com:8080/storage/card/1383/card_img/20760/1383card.png
1384,스마트렌탈카드,KB국민카드,"해외겸용 15,000원",전월실적30만원 이상,mastercardJCB,https://api.card-gorilla.com:8080/storage/card/1384/card_img/20759/1384card.png
1385,삼성지엔미카드,삼성카드,"국내전용 7,000원 해외겸용 12,000원",전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1385/card_img/20758/1385card.png
1386,삼성지엔미e포인트카드,삼성카드,"해외겸용 5,000원",전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1386/card_img/20757/1386card.png
1387,신라피트니스클럽 삼성플래티늄카드,삼성카드,"해외겸용 120,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1387/card_img/20756/1387card.png
1388,신라피트니스클럽 멤버십 삼성플래티늄카드,삼성카드,"해외겸용 5,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1388/card_img/20754/1388card.png
1389,신라피트니스클럽 스카이패스 삼성플래티늄카드,삼성카드,"해외겸용 140,000원",전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1389/card_img/20753/1389card.png
1390,LG U+ Bora 신한카드 Big Plus,신한카드,"국내전용 22,000원 해외겸용 25,000원",전월실적40만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/1390/card_img/20752/1390card.png
1391,탑모아 체크카드,BNK부산은행,국내전용 없음,전월실적20만원 이상,,https://api.card-gorilla.com:8080/storage/card/1391/card_img/20751/1391card.png
1392,메가쇼핑체크카드,BNK부산은행,국내전용 없음,전월실적20만원 이상,,https://api.card-gorilla.com:8080/storage/card/1392/card_img/20750/1392card.png
1393,미래에셋 자산관리 CMA 롯데포인트플러스 카드,롯데카드,"해외겸용 5,000원",전월실적20만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1393/card_img/20749/1393card.jpg
1394,현대백화점 체크카드,BNK부산은행,"해외겸용 1,000원",전월실적없음,BC Global,https://api.card-gorilla.com:8080/storage/card/1394/card_img/20748/1394card.png
1395,DUAL PARTNERS 기업카드,BNK부산은행,"해외겸용 13,000원",전월실적30만원 이상,BCBC Globalmastercard,https://api.card-gorilla.com:8080/storage/card/1395/card_img/20747/1395card.png
1396,신한생명 多달이 롯데카드,롯데카드,"국내전용 10,000원 해외겸용 15,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1396/card_img/20746/1396card.jpg
1397,YO 체크카드,BNK부산은행,해외겸용 없음,전월실적20만원 이상,UnionPay,https://api.card-gorilla.com:8080/storage/card/1397/card_img/20713/1397card.png
1398,마이존 그린 체크카드,BNK부산은행,국내전용 없음,전월실적20만원 이상,BC,https://api.card-gorilla.com:8080/storage/card/1398/card_img/20712/1398card.png
1399,미래에셋아내펀드CMA 삼성체크카드,삼성카드,국내전용 없음 해외겸용 없음,전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1399/card_img/20711/1399card.png
1400,무비매니아 삼성지엔미포인트카드,삼성카드,"해외겸용 12,000원",전월실적30만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/1400/card_img/20710/1400card.png
1401,무비매니아 삼성애니패스포인트카드,삼성카드,"해외겸용 12,000원",전월실적30만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/1401/card_img/20709/1401card.png
1402,메가티즌 삼성애니패스포인트카드,삼성카드,"해외겸용 12,000원",전월실적30만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/1402/card_img/20708/1402card.png
1403,DGB UntacT 카드,DGB대구은행,"국내전용 10,000원 해외겸용 10,000원",전월실적30만원 이상,BCmastercard,https://api.card-gorilla.com:8080/storage/card/1403/card_img/20707/1403card.png
1404,메가티즌 삼성지엔미포인트카드,삼성카드,"해외겸용 12,000원",전월실적30만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/1404/card_img/20706/1404card.png
